DIBUJO DE PERSONAJES;9.3;;;;
DISENO Y CREATIVIDAD;9.9;;;;
REDACCION ACADEMICA;9.3;;;;
INTRO.A LA ANIMACION DIGITAL;9.7;;;;
TECNICAS DE STORYBOARD;9.4;;;;
INTRODUCCION AL VIDEO;8.6;;;;
FOTOGRAFIA E ILUMINACION II;8.6;;;;
INTRODUCCION AL 3D;9.8;;;;
CLUB DE ARTES MARCIALES;10.0;;;;
INTERFACES;10.0;;;;
MEDIOS ARTISTICOS DIGITALES;10.0;;;;
ANIMACION DIGITAL AVANZADA;9.9;;;;
TECNICAS DE EDICION;8.4;;;;
GUION CINEMATOGRAFICO;9.8;;;;
ANIMACION CLASICA I;9.6;;;;
MODELADO 3D INORGANICO;9.5;;;;
